time_ms,EgoPosition_x,EgoPosition_y,EgoPosition_z,EgoSpeed,EgoRoadID,EgoLaneID,SV_0_ID,SV_0_pos_x,SV_0_pos_y,SV_0_pos_z,SV_0_speed,SV_0_routeID,SV_0_roadID,SV_0_laneID,SV_1_ID,SV_1_pos_x,SV_1_pos_y,SV_1_pos_z,SV_1_speed,SV_1_routeID,SV_1_roadID,SV_1_laneID,SV_2_ID,SV_2_pos_x,SV_2_pos_y,SV_2_pos_z,SV_2_speed,SV_2_routeID,SV_2_roadID,SV_2_laneID,SV_3_ID,SV_3_pos_x,SV_3_pos_y,SV_3_pos_z,SV_3_speed,SV_3_routeID,SV_3_roadID,SV_3_laneID,SV_4_ID,SV_4_pos_x,SV_4_pos_y,SV_4_pos_z,SV_4_speed,SV_4_routeID,SV_4_roadID,SV_4_laneID,SV_5_ID,SV_5_pos_x,SV_5_pos_y,SV_5_pos_z,SV_5_speed,SV_5_routeID,SV_5_roadID,SV_5_laneID,SV_6_ID,SV_6_pos_x,SV_6_pos_y,SV_6_pos_z,SV_6_speed,SV_6_routeID,SV_6_roadID,SV_6_laneID,SV_7_ID,SV_7_pos_x,SV_7_pos_y,SV_7_pos_z,SV_7_speed,SV_7_routeID,SV_7_roadID,SV_7_laneID,
50,65.36203,10.02389,-3032.409,52.05798,:80_7,:80_7_0,49,67.14504,10,-3019.95,59.97,0_55.95,:80_0,:80_0_0,32,68.35799,10,-3004.219,63.59,0_55.95,:80_0,:80_0_1,9,75.72556,10,-3064.398,70.99,0_55.95,:80_0,:80_0_1,23,81.67264,10,-3086.857,69.75,0_55.95,99,99_2,17,58.72415,10,-2958.392,58.47,0_55.95,116,116_1,6,77.6033,10,-3105.797,71.80,0_55.95,99,99_0,38,86.59062,10,-3125.974,70.21,0_55.95,99,99_2,0,0,0,0,-99.00,-99,-99,-99,
100,65.26698,10.02387,-3031.412,52.0714,:80_7,:80_7_0,49,67.00293,10,-3018.819,59.98,0_55.95,:80_0,:80_0_0,32,68.1938,10,-3003.021,63.54,0_55.95,:80_0,:80_0_1,9,75.56633,10,-3063.057,70.95,0_55.95,:80_0,:80_0_1,23,81.50696,10,-3085.54,69.83,0_55.95,99,99_2,6,77.43291,10,-3104.442,71.79,0_55.95,99,99_0,17,58.54883,10,-2957.298,58.14,0_55.95,116,116_1,38,86.42407,10,-3124.649,70.15,0_55.95,99,99_2,0,0,0,0,-99.00,-99,-99,-99,
150,65.12314,10.02386,-3029.929,52.09153,:80_7,:80_7_0,0,0,0,0,-99.00,-99,-99,-99,0,0,0,0,-99.00,-99,-99,-99,0,0,0,0,-99.00,-99,-99,-99,0,0,0,0,-99.00,-99,-99,-99,0,0,0,0,-99.00,-99,-99,-99,0,0,0,0,-99.00,-99,-99,-99,0,0,0,0,-99.00,-99,-99,-99,0,0,0,0,-99.00,-99,-99,-99,
200,65.02376,10.02387,-3028.92,52.10495,:80_7,:80_7_0,49,66.64763,10,-3015.991,59.96,0_55.95,:80_0,:80_0_0,32,67.77537,10,-3000.027,63.51,0_55.95,:80_0,:80_0_1,9,75.16853,10,-3059.708,70.83,0_55.95,:80_0,:80_0_1,23,81.09274,10,-3082.245,69.76,0_55.95,99,99_2,6,77.00726,10,-3101.057,71.68,0_55.95,99,99_0,17,58.11036,10,-2954.562,58.18,0_55.95,116,116_1,38,86.00736,10,-3121.335,70.22,0_55.95,99,99_2,0,0,0,0,-99.00,-99,-99,-99,
250,64.92613,10.02386,-3027.941,52.11614,:80_7,:80_7_0,49,66.50797,10,-3014.88,59.98,0_55.95,:80_0,:80_0_0,32,67.6109,10,-2998.851,63.53,0_55.95,:80_0,:80_0_1,9,75.01235,10,-3058.393,70.80,0_55.95,:80_0,:80_0_1,23,80.93002,10,-3080.951,69.77,0_55.95,99,99_2,6,76.8401,10,-3099.727,71.63,0_55.95,99,99_0,17,57.93806,10,-2953.487,58.33,0_55.95,116,116_1,38,85.84364,10,-3120.033,70.14,0_55.95,99,99_2,0,0,0,0,-99.00,-99,-99,-99,
300,64.78279,10.02383,-3026.52,52.14075,:80_7,:80_7_0,49,66.30543,10,-3013.268,59.99,0_55.95,:80_0,:80_0_0,32,67.37231,10,-2997.145,63.52,0_55.95,:80_0,:80_0_1,9,74.786,10,-3056.487,70.78,0_55.95,:80_0,:80_0_1,23,80.70039,10,-3079.072,69.82,0_55.95,:80_0,:80_0_2,6,76.5979,10,-3097.801,71.59,0_55.95,99,99_0,17,57.68752,10,-2951.923,58.16,0_55.95,116,116_1,38,85.60629,10,-3118.145,70.19,0_55.95,99,99_2,0,0,0,0,-99.00,-99,-99,-99,
350,64.68933,10.02379,-3025.603,52.15864,:80_7,:80_7_0,49,66.17477,10,-3012.229,59.97,0_55.95,:80_0,:80_0_0,32,67.2184,10,-2996.044,63.58,0_55.95,:80_0,:80_0_1,9,74.64008,10,-3055.258,70.66,0_55.95,:80_0,:80_0_1,23,80.55437,10,-3077.858,69.80,0_55.95,:80_0,:80_0_2,6,76.44171,10,-3096.558,71.58,0_55.95,99,99_0,17,57.52639,10,-2950.918,58.29,0_55.95,116,116_1,38,85.45314,10,-3116.927,70.18,0_55.95,99,99_2,0,0,0,0,-99.00,-99,-99,-99,
400,64.58855,10.02375,-3024.622,52.17654,:80_7,:80_7_0,49,66.03508,10,-3011.117,59.99,0_55.95,:80_0,:80_0_0,32,67.05309,10,-2994.867,63.60,0_55.95,:80_0,:80_0_1,9,74.48418,10,-3053.945,70.73,0_55.95,:80_0,:80_0_1,23,80.39833,10,-3076.561,69.76,0_55.95,:80_0,:80_0_2,6,76.2749,10,-3095.231,71.47,0_55.95,99,99_0,17,57.3536,10,-2949.84,58.48,0_55.95,116,116_1,38,85.28949,10,-3115.625,70.14,0_55.95,99,99_2,0,0,0,0,-99.00,-99,-99,-99,
450,64.42549,10.0237,-3023.053,52.20562,:80_7,:80_7_0,49,65.81172,10,-3009.339,59.97,0_55.95,:80_0,:80_0_0,32,66.77385,10,-2992.987,63.54,0_55.95,:80_0,:80_0_1,9,74.235,10,-3051.847,70.62,0_55.95,:80_0,:80_0_1,23,80.15089,10,-3074.487,69.75,0_55.95,:80_0,:80_0_2,6,76.00822,10,-3093.11,71.48,0_55.95,99,99_0,17,57.0775,10,-2948.117,58.42,0_55.95,116,116_1,38,85.02769,10,-3113.543,70.20,0_55.95,99,99_2,0,0,0,0,-99.00,-99,-99,-99,
500,64.31126,10.0237,-3021.967,52.23917,:80_7,:80_7_0,49,65.65608,10,-3008.109,59.99,0_55.95,:80_0,:80_0_0,9,74.06255,10,-3050.395,70.62,0_55.95,:80_0,:80_0_1,32,66.57879,10,-2991.685,63.58,0_55.95,:80_0,:80_0_1,23,79.98022,10,-3073.051,69.75,0_55.95,:80_0,:80_0_2,6,75.82368,10,-3091.643,71.41,0_55.95,99,99_0,17,56.88688,10,-2946.927,58.20,0_55.95,116,116_1,38,84.84649,10,-3112.101,70.10,0_55.95,99,99_2,0,0,0,0,-99.00,-99,-99,-99,
